null_model,null_model_label,bin,observed_mean,observed_sd,observed_sem,null_mean,null_sd,delta_vs_null,z_score,p_value_enrichment,null_ci_low,null_ci_high,n_images
permute_xy,Permute x/y reference,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.02447097216246271,0.00625022750842955,0.09012523579192538,14.419512836992794,0.0003332222592469177,0.013374357897505816,0.03761680510634544,56
permute_xy,Permute x/y reference,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.02527903612130126,0.006638862048610112,0.09457594954795304,14.24580731689599,0.0003332222592469177,0.013062259963938188,0.039159630560050354,56
permute_xy,Permute x/y reference,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.01096005856467166,0.006718581872959973,0.042692968302640924,6.354461270237062,0.0003332222592469177,0.0010822510822510823,0.026062066240637675,56
permute_xy,Permute x/y reference,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.002877376974181485,0.004180816450365875,0.016963892867088357,4.0575550418157675,0.003332222592469177,0.0,0.015873015873015872,56
permute_xy,Permute x/y reference,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.0003904761904761905,0.0016240453088870847,0.006752380952380953,4.157754045056897,0.05498167277574142,0.0,0.0071428571428571435,56
uniform_random,Uniform random placement,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.0022041961151259234,0.001842395343910648,0.11239201183926216,61.00320010617272,0.0003332222592469177,0.0,0.0066062931834175685,56
uniform_random,Uniform random placement,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.002152757342285434,0.002123457432558833,0.11770222832696887,55.42952098885919,0.0003332222592469177,0.0,0.007339962173479633,56
uniform_random,Uniform random placement,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.0015679773803141742,0.002357110334907915,0.05208504948699841,22.096992540246617,0.0003332222592469177,0.0,0.007936958874458876,56
uniform_random,Uniform random placement,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.0006365145620762302,0.001788534820754765,0.019204755279193613,10.737702758892427,0.0006664445184938354,0.0,0.00510204081632653,56
uniform_random,Uniform random placement,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.00016926183358460301,0.0007613786173146275,0.006973595309272541,9.159168842787206,0.0016661112962345886,0.0,0.001984126984126984,56
resample_with_replacement,Resample puncta with replacement,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.07481756533085017,0.010731037997909447,0.03977864262353792,3.7068774363940697,0.0003332222592469177,0.053919204873414936,0.09674852930826465,56
resample_with_replacement,Resample puncta with replacement,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.07769758907641618,0.011708359291417093,0.042157396592838126,3.600623754665775,0.0003332222592469177,0.05416601639001197,0.10032001471324245,56
resample_with_replacement,Resample puncta with replacement,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.03172522971763982,0.012292049781791348,0.02192779714967276,1.7839007764315427,0.04165278240586471,0.009061677440862708,0.056205668776901904,56
resample_with_replacement,Resample puncta with replacement,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.011055137152369433,0.008393921005184385,0.008786132688900411,1.0467256820112774,0.18360546484505164,0.0,0.026785714285714284,56
resample_with_replacement,Resample puncta with replacement,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.0038299289995718565,0.005159886194186137,0.003312928143285287,0.642054498608536,0.315894701766078,0.0,0.014880952380952382,56
local_jitter,Local jitter window,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.010556439622915614,0.00451547513964828,0.10403976833147248,23.04071334995244,0.0003332222592469177,0.0035290031243892304,0.02105771803714241,56
local_jitter,Local jitter window,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.010983636230696158,0.0046624835296080365,0.10887134943855814,23.35050595829358,0.0003332222592469177,0.0033945209129799163,0.02136838446240541,56
local_jitter,Local jitter window,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.004472697210630709,0.005219412463172761,0.04918032965668187,9.42257964927843,0.0003332222592469177,0.0,0.01852904040404044,56
local_jitter,Local jitter window,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.003235183106359757,0.005580598230244581,0.016606086734910087,2.975682184915557,0.018327224258580473,0.0,0.01938830967169477,56
local_jitter,Local jitter window,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.0004474914965986394,0.0014987932327225357,0.006695365646258504,4.46717098801979,0.013328890369876709,0.0,0.005952380952380952,56
axial_shift_arc,Axial shift of arc channel,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.0026396816441219906,0.0018151271643835772,0.11195652631026609,61.67971506739412,0.0003332222592469177,0.00019305019305019305,0.007154545921562728,56
axial_shift_arc,Axial shift of arc channel,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.002524263715180668,0.002150410450290675,0.11733072195407364,54.562012539612525,0.0003332222592469177,0.0,0.007742635005119448,56
axial_shift_arc,Axial shift of arc channel,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.0020339393217380553,0.0028452924613753317,0.051619087545574524,18.141926795329628,0.0003332222592469177,0.0,0.009200174825174828,56
axial_shift_arc,Axial shift of arc channel,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.0008412050343688008,0.0017395533376105374,0.019000064806901043,10.92238127805823,0.0003332222592469177,0.0,0.006318681318681319,56
axial_shift_arc,Axial shift of arc channel,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.00014661983901645555,0.0007375015626587124,0.006996237303840688,9.486403362481118,0.0036654448517160947,0.0,0.0027472527472527475,56
local_masked_randomization,Local x-density / y-mask randomization,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.08506288186899713,0.010710351615708455,0.029533326085390957,2.757456257745598,0.001999333555481506,0.06448275773726365,0.1062550340252932,56
local_masked_randomization,Local x-density / y-mask randomization,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.07120358357537092,0.011757846322497783,0.048651402093883384,4.137781763722534,0.0006664445184938354,0.04857073435715341,0.09421313710278321,56
local_masked_randomization,Local x-density / y-mask randomization,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.06762026578174113,0.016772616983707432,-0.013967238914428547,-0.8327405871126747,0.7964011996001333,0.037315448275269704,0.10255395251440695,56
local_masked_randomization,Local x-density / y-mask randomization,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.03287469877491728,0.008483940642385756,-0.013033428933647433,-1.5362470676105913,0.9540153282239253,0.017857142857142856,0.05069568452380952,56
local_masked_randomization,Local x-density / y-mask randomization,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.010276100073867932,0.004027297033560738,-0.003133242931010789,-0.7780014498311115,1.0,0.0071428571428571435,0.02023809523809524,56
