threshold_um,null_model,region,reference_group,coassociated_count_observed,total_count_reference_group,coassociation_fraction_observed,coassociation_percent_observed,coassociation_fraction_null_mean,coassociation_percent_null_mean,coassociation_fraction_null_ci_low,coassociation_fraction_null_ci_high,coassociation_percent_null_ci_low,coassociation_percent_null_ci_high,enrichment_vs_null,empirical_p_enrichment
0.1,fix_x_permute_yz,whole_image,arc,108,559,0.1932021466905187,19.320214669051868,0.0116672629695885,1.1667262969588499,0.0035778175313059,0.0214669051878354,0.35778175313059,2.14669051878354,16.55933762649494,0.0004997501249375
0.1,fix_x_permute_yz,whole_image,actin,108,1605,0.0672897196261682,6.72897196261682,0.0040635514018691,0.40635514018691,0.0012461059190031,0.0074766355140186,0.12461059190030999,0.74766355140186,16.55933762649494,0.0004997501249375
0.1,fix_x_permute_yz,whole_image,all_puncta,216,2164,0.099815157116451,9.9815157116451,0.0060277264325323,0.60277264325323,0.0018484288354898,0.011090573012939,0.18484288354898,1.1090573012939,16.55933762649494,0.0004997501249375
0.1,fix_x_permute_yz,x_ge_50,arc,9,66,0.1363636363636363,13.63636363636363,0.0046969696969696,0.46969696969695995,0.0,0.0303030303030303,0.0,3.03030303030303,29.032258064516128,0.0004997501249375
0.1,fix_x_permute_yz,x_ge_50,actin,9,248,0.0362903225806451,3.6290322580645102,0.00125,0.125,0.0,0.0080645161290322,0.0,0.8064516129032201,29.032258064516128,0.0004997501249375
0.1,fix_x_permute_yz,x_ge_50,all_puncta,18,314,0.0573248407643312,5.73248407643312,0.0019745222929936,0.19745222929936002,0.0,0.0127388535031847,0.0,1.27388535031847,29.032258064516128,0.0004997501249375
0.1,fix_x_permute_yz,0_30,arc,84,408,0.2058823529411764,20.58823529411764,0.0129117647058823,1.29117647058823,0.0024509803921568,0.0245098039215686,0.24509803921568,2.45098039215686,15.945330296127564,0.0004997501249375
0.1,fix_x_permute_yz,0_30,actin,84,1062,0.0790960451977401,7.90960451977401,0.0049604519774011,0.49604519774011,0.0009416195856873,0.0094161958568738,0.09416195856873,0.94161958568738,15.945330296127564,0.0004997501249375
0.1,fix_x_permute_yz,0_30,all_puncta,168,1470,0.1142857142857142,11.42857142857142,0.0071673469387755,0.71673469387755,0.001360544217687,0.0136054421768707,0.1360544217687,1.36054421768707,15.945330296127564,0.0004997501249375
0.1,fix_x_permute_yz,30_60,arc,20,116,0.1724137931034483,17.24137931034483,0.0095862068965517,0.9586206896551701,0.0,0.0344827586206896,0.0,3.44827586206896,17.985611510791365,0.0004997501249375
0.1,fix_x_permute_yz,30_60,actin,20,388,0.0515463917525773,5.1546391752577305,0.0028659793814432,0.28659793814432,0.0,0.0103092783505154,0.0,1.03092783505154,17.985611510791365,0.0004997501249375
0.1,fix_x_permute_yz,30_60,all_puncta,40,504,0.0793650793650793,7.9365079365079305,0.0044126984126984,0.44126984126984004,0.0,0.0158730158730158,0.0,1.5873015873015799,17.985611510791365,0.0004997501249375
0.1,fix_x_permute_yz,60_90,arc,3,28,0.1071428571428571,10.71428571428571,0.0045178571428571,0.45178571428571,0.0,0.0357142857142857,0.0,3.57142857142857,23.715415019762844,0.0004997501249375
0.1,fix_x_permute_yz,60_90,actin,3,134,0.0223880597014925,2.23880597014925,0.0009440298507462,0.09440298507462,0.0,0.0074626865671641,0.0,0.74626865671641,23.715415019762844,0.0004997501249375
0.1,fix_x_permute_yz,60_90,all_puncta,6,162,0.037037037037037,3.7037037037037,0.0015617283950617,0.15617283950617,0.0,0.0123456790123456,0.0,1.23456790123456,23.715415019762844,0.0004997501249375
0.1,fix_x_permute_yz,90_120,arc,1,6,0.1666666666666666,16.66666666666666,0.0025833333333333,0.25833333333333,0.0,0.0,0.0,0.0,64.51612903225806,0.015992003998001
0.1,fix_x_permute_yz,90_120,actin,1,20,0.05,5.0,0.000775,0.0775,0.0,0.0,0.0,0.0,64.51612903225806,0.015992003998001
0.1,fix_x_permute_yz,90_120,all_puncta,2,26,0.0769230769230769,7.69230769230769,0.0011923076923076,0.11923076923076,0.0,0.0,0.0,0.0,64.51612903225806,0.015992003998001
