image_id,actin_index,arc_index,actin_x_um,actin_y_um,arc_x_um,arc_y_um,distance_um,actin_bin,arc_bin
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,3,1,5.030097,3.53919025,4.9045585,3.49952275,0.13165646789466826,0_40,0_40
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,4,1,5.06966775,3.48939625,4.9045585,3.49952275,0.16541949836041805,0_40,0_40
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,6,7,13.453195,1.97495775,13.4302975,1.80274275,0.1737305434609872,0_40,0_40
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,7,7,13.4939805,1.97687125,13.4302975,1.80274275,0.18540835742018197,0_40,0_40
MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d2.tif_d1_localizations,0,0,0.533372,3.08728175,0.678626,2.91160525,0.2279494618731308,0_40,0_40
MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,4,2,1.4231495,2.33189,1.4046165,2.57568925,0.24450265108902697,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B2_w1CY5-100_s1_d1.tif_d1_localizations,0,2,0.614513,3.0186645,0.820698,3.007162,0.20650559733636767,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B2_w1CY5-100_s1_d1.tif_d1_localizations,15,15,10.05149725,2.27008825,9.960176,2.11376175,0.18104569948996999,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B2_w2CY3-100_s1_d1.tif_d1_localizations,1,7,0.67401425,4.786158,0.63931325,5.0152835,0.2317383312083906,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B2_w2CY3-100_s1_d1.tif_d1_localizations,1,8,0.67401425,4.786158,0.65958775,4.99409525,0.2084370980411413,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B2_w2CY3-100_s1_d1.tif_d1_localizations,2,7,0.689376,5.10742175,0.63931325,5.0152835,0.10486055526567219,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B2_w2CY3-100_s1_d1.tif_d1_localizations,2,8,0.689376,5.10742175,0.65958775,4.99409525,0.11717608732293706,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B3_w2CY3-100_s1_d1.tif_d1_localizations,14,20,88.44400175,4.813592,88.41658925,4.86859975,0.0614597243429573,80_120,80_120
PP7-Cy5_MS2Cy3_TTX60'w+B3_w2CY3-100_s1_d1.tif_d1_localizations,14,21,88.44400175,4.813592,88.455429,4.796607,0.020471254665076894,80_120,80_120
PP7-Cy5_MS2Cy3_TTX60'w+B3_w2CY3-100_s1_d4.tif_d1_localizations,0,1,0.283413,2.91171275,0.47617125,2.789582,0.22819216252672883,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B6_w2CY3-100_s1_d1.tif_d1_localizations,10,8,12.905117,3.43659225,12.9456015,3.4144365,0.04615053627329249,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w+B6_w2CY3-100_s1_d2.tif_d1_localizations,5,12,6.5353335,4.0498475,6.64703675,3.97905875,0.1322447094863343,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d3.tif_d1_localizations,1,30,32.76826825,2.292932,32.80516225,2.4014855,0.11465177538202502,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,0,2,0.82554625,2.2357205,0.91608275,2.158299,0.11912575915602815,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,1,2,0.840091,2.20638375,0.91608275,2.158299,0.08992713300570078,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,7,7,2.46416875,2.168189,2.417202,2.09428275,0.08756717075836669,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,8,7,2.501439,2.188442,2.417202,2.09428275,0.12634016198170125,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,11,12,4.9185765,3.097806,4.8418,3.30974225,0.2254142963884782,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d1.tif_d1_localizations,13,7,14.28499775,2.9063055,14.1537295,2.8739695,0.13519234576728986,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d1.tif_d1_localizations,14,7,14.3689875,2.8489435,14.1537295,2.8739695,0.2167078845819861,0_40,0_40
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d1.tif_d1_localizations,16,9,21.17630675,3.90034725,21.24828875,3.66868475,0.24258796802448823,0_40,0_40
